Resume,Job_Description,Resume_Cleaned,Job_Description_Cleaned,Similarity_Score
Cloud architect with hands-on experience in multi-cloud platforms. Expertise in cloud migration.,Seeking a cloud architect with experience in multi-cloud platforms and cloud migration.,cloud architect hands experience multi cloud platforms expertise cloud migration,seeking cloud architect experience multi cloud platforms cloud migration,0.8774376492216497
Cloud architect with hands-on experience in multi-cloud platforms. Expertise in backend development.,Seeking a cloud architect with experience in multi-cloud platforms and backend development.,cloud architect hands experience multi cloud platforms expertise backend development,seeking cloud architect experience multi cloud platforms backend development,0.8550015332194977
Cloud architect with hands-on experience in multi-cloud platforms. Expertise in responsive design.,Seeking a cloud architect with experience in multi-cloud platforms and responsive design.,cloud architect hands experience multi cloud platforms expertise responsive design,seeking cloud architect experience multi cloud platforms responsive design,0.8424460421428588
"Software engineer with 8 years of experience in Python, SQL, Tableau. Skilled in responsive design.","Hiring a software engineer with experience in responsive design and Python, SQL, Tableau.",software engineer 8 years experience python sql tableau skilled responsive design,hiring software engineer experience responsive design python sql tableau,0.823498059075527
"Software engineer with 1 years of experience in AWS, Azure, GCP. Skilled in cloud migration.","Hiring a software engineer with experience in cloud migration and AWS, Azure, GCP.",software engineer 1 years experience aws azure gcp skilled cloud migration,hiring software engineer experience cloud migration aws azure gcp,0.8076946748026232
Cloud architect with hands-on experience in Kubernetes. Expertise in microservices.,Seeking a cloud architect with experience in Kubernetes and microservices.,cloud architect hands experience kubernetes expertise microservices,seeking cloud architect experience kubernetes microservices,0.7414904146500336
Cloud architect with hands-on experience in multi-cloud platforms. Expertise in cloud migration.,Seeking a cloud architect with experience in multi-cloud platforms and responsive design.,cloud architect hands experience multi cloud platforms expertise cloud migration,seeking cloud architect experience multi cloud platforms responsive design,0.7103350830419313
"Software engineer with 4 years of experience in Java, Spring Boot, RESTful APIs. Skilled in responsive design.","Hiring a software engineer with experience in cloud migration and Java, Spring Boot, RESTful APIs.",software engineer 4 years experience java spring boot restful apis skilled responsive design,hiring software engineer experience cloud migration java spring boot restful apis,0.6916417465172632
Cloud architect with hands-on experience in multi-cloud platforms. Expertise in responsive design.,Seeking a cloud architect with experience in multi-cloud platforms and microservices.,cloud architect hands experience multi cloud platforms expertise responsive design,seeking cloud architect experience multi cloud platforms microservices,0.6842577244489142
Cloud architect with hands-on experience in multi-cloud platforms. Expertise in microservices.,Seeking a cloud architect with experience in multi-cloud platforms and backend development.,cloud architect hands experience multi cloud platforms expertise microservices,seeking cloud architect experience multi cloud platforms backend development,0.6550146614998892
"Front-end developer proficient in Java, Spring Boot, RESTful APIs. Experience in building responsive web applications.","Hiring a front-end developer with proficiency in Java, Spring Boot, RESTful APIs and experience in creating responsive designs.",front end developer proficient java spring boot restful apis experience building responsive web applications,hiring front end developer proficiency java spring boot restful apis experience creating responsive designs,0.6412453984736793
"Front-end developer proficient in Java, Spring Boot, RESTful APIs. Experience in building responsive web applications.","Hiring a front-end developer with proficiency in Java, Spring Boot, RESTful APIs and experience in creating responsive designs.",front end developer proficient java spring boot restful apis experience building responsive web applications,hiring front end developer proficiency java spring boot restful apis experience creating responsive designs,0.6412453984736793
"Front-end developer proficient in Java, Spring Boot, RESTful APIs. Experience in building responsive web applications.","Hiring a front-end developer with proficiency in Java, Spring Boot, RESTful APIs and experience in creating responsive designs.",front end developer proficient java spring boot restful apis experience building responsive web applications,hiring front end developer proficiency java spring boot restful apis experience creating responsive designs,0.6412453984736793
"Front-end developer proficient in Java, Spring Boot, RESTful APIs. Experience in building responsive web applications.","Hiring a front-end developer with proficiency in Java, Spring Boot, RESTful APIs and experience in creating responsive designs.",front end developer proficient java spring boot restful apis experience building responsive web applications,hiring front end developer proficiency java spring boot restful apis experience creating responsive designs,0.6412453984736793
"Front-end developer proficient in Java, Spring Boot, RESTful APIs. Experience in building responsive web applications.","Hiring a front-end developer with proficiency in Java, Spring Boot, RESTful APIs and experience in creating responsive designs.",front end developer proficient java spring boot restful apis experience building responsive web applications,hiring front end developer proficiency java spring boot restful apis experience creating responsive designs,0.6412453984736793
"Data analyst with 9 years of experience in Java, Spring Boot, RESTful APIs. Certified in Power BI. Strong problem-solving skills.","Looking for a data analyst with expertise in Java, Spring Boot, RESTful APIs and data visualization tools like Power BI.",data analyst 9 years experience java spring boot restful apis certified power bi strong problem solving skills,looking data analyst expertise java spring boot restful apis data visualization tools like power bi,0.6301684958922975
"Software engineer with 8 years of experience in AWS, Azure, GCP. Skilled in backend development.","Seeking a cloud architect with experience in AWS, Azure, GCP and backend development.",software engineer 8 years experience aws azure gcp skilled backend development,seeking cloud architect experience aws azure gcp backend development,0.611318618541384
"Software engineer with 5 years of experience in deep learning, TensorFlow, NLP. Skilled in backend development.","Hiring a software engineer with experience in microservices and deep learning, TensorFlow, NLP.",software engineer 5 years experience deep learning tensorflow nlp skilled backend development,hiring software engineer experience microservices deep learning tensorflow nlp,0.5946575132259602
Cloud architect with hands-on experience in multi-cloud platforms. Expertise in cloud migration.,"Seeking a cloud architect with experience in AWS, Azure, GCP and cloud migration.",cloud architect hands experience multi cloud platforms expertise cloud migration,seeking cloud architect experience aws azure gcp cloud migration,0.5876981490075016
"Cloud architect with hands-on experience in AWS, Azure, GCP. Expertise in microservices.","Seeking a cloud architect with experience in AWS, Azure, GCP and cloud migration.",cloud architect hands experience aws azure gcp expertise microservices,seeking cloud architect experience aws azure gcp cloud migration,0.5809335151876727
"Software engineer with 9 years of experience in deep learning, TensorFlow, NLP. Skilled in backend development.","Hiring a software engineer with experience in responsive design and deep learning, TensorFlow, NLP.",software engineer 9 years experience deep learning tensorflow nlp skilled backend development,hiring software engineer experience responsive design deep learning tensorflow nlp,0.5797878041368602
"Front-end developer proficient in React, JavaScript, CSS. Experience in building responsive web applications.","Hiring a front-end developer with proficiency in React, JavaScript, CSS and experience in creating responsive designs.",front end developer proficient react javascript css experience building responsive web applications,hiring front end developer proficiency react javascript css experience creating responsive designs,0.568809771791578
"Software engineer with 3 years of experience in Python, SQL, Tableau. Skilled in cloud migration.","Hiring a software engineer with experience in backend development and Python, SQL, Tableau.",software engineer 3 years experience python sql tableau skilled cloud migration,hiring software engineer experience backend development python sql tableau,0.5684890986348298
"Software engineer with 7 years of experience in deep learning, TensorFlow, NLP. Skilled in cloud migration.","Hiring a software engineer with experience in backend development and deep learning, TensorFlow, NLP.",software engineer 7 years experience deep learning tensorflow nlp skilled cloud migration,hiring software engineer experience backend development deep learning tensorflow nlp,0.5675802698699716
"Software engineer with 3 years of experience in AWS, Azure, GCP. Skilled in responsive design.","Seeking a cloud architect with experience in AWS, Azure, GCP and responsive design.",software engineer 3 years experience aws azure gcp skilled responsive design,seeking cloud architect experience aws azure gcp responsive design,0.5650873531473983
